Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
231127223,Wild Dark Shore,Charlotte McConaghy,"McConaghy, Charlotte",,"=""1250828015""","=""9781250828019""",0,4.11,Flatiron Books,Paperback,320,2026,2025,,2025/12/24,to-read,to-read (#27),to-read,,,,0,0
229004506,The Widow,John Grisham,"Grisham, John",,"=""0385548982""","=""9780385548984""",0,4.12,Doubleday,Hardcover,416,2025,2025,,2025/12/24,to-read,to-read (#26),to-read,,,,0,0
29354916,"The Whistler (The Whistler, #1)",John Grisham,"Grisham, John",,"=""0385541201""","=""9780385541206""",0,3.97,Vintage,Kindle Edition,424,2016,2016,2025/12/23,2025/12/18,,,read,,,,1,0
5350,The Partner,John Grisham,"Grisham, John",,"=""0385339100""","=""9780385339100""",0,3.98,Delta,Paperback,416,2005,1997,,2025/12/18,to-read,to-read (#25),to-read,,,,0,0
32499,The Pelican Brief,John Grisham,"Grisham, John",,"=""0385339704""","=""9780385339704""",0,4.06,Delta,Paperback,400,2006,1992,,2025/12/18,to-read,to-read (#24),to-read,,,,0,0
5359,The Client,John Grisham,"Grisham, John",,"=""0385339089""","=""9780385339087""",0,4.06,Delta Trade Paperbacks,Paperback,483,2005,1993,,2025/12/18,to-read,to-read (#23),to-read,,,,0,0
32542,"A Time to Kill (Jake Brigance, #1)",John Grisham,"Grisham, John",,"=""""","=""""",0,4.12,Dell,Mass Market Paperback,738,2004,1989,,2025/12/18,to-read,to-read (#22),to-read,,,,0,0
61458888,You Shouldn't Have Come Here,Jeneva Rose,"Rose, Jeneva",,"=""""","=""9798212182805""",0,3.36,Blackstone Publishing,Hardcover,292,2023,2023,2025/12/17,2025/12/11,,,read,,,,1,0
228142779,Haven't Killed in Years,Amy K. Green,"Green, Amy K.",,"=""0593953495""","=""9780593953495""",0,3.60,Berkley,Hardcover,368,2025,2025,2025/12/16,2025/12/11,,,read,,,,1,0
199117114,"Beyond Her Reach (Bree Taggert, #10)",Melinda Leigh,"Leigh, Melinda",,"=""1662516975""","=""9781662516979""",0,4.51,Montlake,Kindle Edition,312,2025,2025,,2025/12/16,to-read,to-read (#21),to-read,,,,0,0
60829269,All the Dangerous Things,Stacy Willingham,"Willingham, Stacy",,"=""1250803861""","=""9781250803863""",0,4.04,Minotaur Books,Kindle Edition,320,2023,2023,2025/12/10,2025/12/05,,,read,,,,1,0
204163938,A Flicker in the Dark,Stacy Willingham,"Willingham, Stacy",,"=""""","=""""",0,3.97,Minotaur Books,Kindle Edition,375,2022,2022,2025/12/04,2025/12/01,,,read,,,,1,0
2373,"The Bone Collector (Lincoln Rhyme, #1)",Jeffery Deaver,"Deaver, Jeffery",,"=""0451188454""","=""9780451188458""",0,4.20,Signet Book,Mass Market Paperback,528,1998,1997,,2025/12/01,to-read,to-read (#20),to-read,,,,0,0
